question_id,skill_name,question_text,reference_answer,keywords,difficulty_level
1,JavaScript,What is the difference between == and === in JavaScript?,"== performs type coercion before comparing values, so values of different types can be considered equal after conversion. === compares both value and type without any coercion, making it the safer, more predictable default for equality checks.","[{""term"": ""loose equality"", ""tier"": ""critical"", ""aliases"": [""double equals"", ""abstract equality""]}, {""term"": ""strict equality"", ""tier"": ""critical"", ""aliases"": [""triple equals"", ""strict comparison""]}, {""term"": ""type coercion"", ""tier"": ""supporting"", ""aliases"": [""coercion"", ""implicit conversion"", ""type conversion""]}, {""term"": ""strict mode"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""NaN comparison"", ""tier"": ""supporting"", ""aliases"": [""nan check""]}]",0.1
2,JavaScript,"What is the difference between let, const, and var?","var is function-scoped and hoisted to the top of its scope with an initial value of undefined. let and const are block-scoped and sit in the temporal dead zone until their declaration is reached, so referencing them earlier throws an error. const cannot be reassigned after its initial value is set, whereas the same variable declared with the other keyword can be reassigned freely.","[{""term"": ""scope"", ""tier"": ""supporting"", ""aliases"": [""scoping""]}, {""term"": ""hoisting"", ""tier"": ""supporting"", ""aliases"": [""hoisted""]}, {""term"": ""temporal dead zone"", ""tier"": ""supporting"", ""aliases"": [""tdz""]}, {""term"": ""reassignment"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""redeclaration"", ""tier"": ""supporting"", ""aliases"": [""re-declaring a variable""]}]",0.15
3,JavaScript,What is a template literal and how is it different from string concatenation?,A template literal uses backticks with ${} to interpolate expressions directly into a string and supports multiline strings without any special characters. The + operator instead requires manually joining each piece and inserting newline characters explicitly.,"[{""term"": ""string interpolation"", ""tier"": ""critical"", ""aliases"": [""interpolation""]}, {""term"": ""backticks"", ""tier"": ""supporting"", ""aliases"": [""backtick syntax""]}, {""term"": ""multiline string"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""tagged template"", ""tier"": ""supporting"", ""aliases"": [""tagged templates""]}]",0.2
4,JavaScript,What is the difference between null and undefined?,"undefined means a variable has been declared but never assigned a value, or that a function returned nothing. null is an explicit assignment representing an intentional absence of a value. A well-known quirk is that typeof on the latter incorrectly returns 'object'.","[{""term"": ""typeof"", ""tier"": ""supporting"", ""aliases"": [""type check""]}, {""term"": ""falsy value"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""loose equality with null"", ""tier"": ""supporting"", ""aliases"": []}]",0.25
5,JavaScript,What are arrow functions and how do they differ from regular functions in terms of this binding?,"Arrow functions don't have their own this; they inherit it lexically from the enclosing scope at the time they're defined, rather than from how they're called. They also lack their own arguments object, so referencing arguments inside one refers to the enclosing function's arguments.","[{""term"": ""lexical scope"", ""tier"": ""supporting"", ""aliases"": [""lexical scoping"", ""enclosing scope""]}, {""term"": ""arguments object"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""implicit return"", ""tier"": ""supporting"", ""aliases"": [""concise body""]}]",0.3
6,JavaScript,Explain how closures work in JavaScript.,"A closure is a function that retains access to variables from its enclosing scope even after that outer function has finished executing, because the inner function keeps a reference to its lexical environment rather than a snapshot of the values. A classic example is a counter: an outer function initializes a count variable and returns an inner function that increments and reads it, and each call still has access to that same private variable.","[{""term"": ""lexical scope"", ""tier"": ""critical"", ""aliases"": [""lexical scoping"", ""enclosing scope""]}, {""term"": ""scope chain"", ""tier"": ""supporting"", ""aliases"": [""chain of scopes""]}, {""term"": ""inner function"", ""tier"": ""supporting"", ""aliases"": [""nested function""]}, {""term"": ""counter function example"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""private variables"", ""tier"": ""supporting"", ""aliases"": [""encapsulation""]}]",0.4
7,JavaScript,"What is the difference between synchronous and asynchronous code, and how do promises help manage it?","Synchronous execution runs line by line, blocking further work until each statement finishes. Asynchronous execution lets other work continue while an operation, like a network request, completes in the background. A promise represents the eventual result of such an operation, settling as either resolved or rejected, and its then/catch handlers let you react once it settles.","[{""term"": ""then"", ""tier"": ""supporting"", ""aliases"": [""then method"", ""then callback""]}, {""term"": ""catch"", ""tier"": ""supporting"", ""aliases"": [""catch method"", ""error handler""]}, {""term"": ""callback function"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""unhandled rejection"", ""tier"": ""supporting"", ""aliases"": []}]",0.45
8,JavaScript,What is the event loop and how does it handle asynchronous code?,"The call stack runs synchronous code. When an async operation completes, its callback is placed on either the microtask queue (for promises) or the macrotask queue (for things like timers). Once the call stack is empty, the loop first drains the entire microtask queue, then takes a single task from the macrotask queue, repeating this cycle - which is why promise callbacks generally run before timer callbacks.","[{""term"": ""call stack"", ""tier"": ""critical"", ""aliases"": [""stack frame"", ""execution stack""]}, {""term"": ""microtask"", ""tier"": ""critical"", ""aliases"": [""microtask queue"", ""job queue""]}, {""term"": ""macrotask"", ""tier"": ""supporting"", ""aliases"": [""macrotask queue"", ""task queue""]}, {""term"": ""callback queue"", ""tier"": ""supporting"", ""aliases"": [""task queue"", ""message queue""]}, {""term"": ""non-blocking"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""setTimeout"", ""tier"": ""supporting"", ""aliases"": [""timer callback""]}]",0.5
9,JavaScript,"Explain the difference between call, apply, and bind.","All three explicitly set what this refers to inside a function. The first invokes the function immediately, passing arguments individually; the second also invokes immediately but takes arguments as an array; the third doesn't invoke the function at all - it returns a new function with this permanently bound, which can be called later.","[{""term"": ""this"", ""tier"": ""supporting"", ""aliases"": [""this keyword"", ""this context""]}, {""term"": ""function borrowing"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""partial application"", ""tier"": ""supporting"", ""aliases"": [""currying""]}]",0.55
10,JavaScript,What is destructuring in JavaScript and how does it work with objects and arrays?,"Destructuring unpacks values from arrays or properties from objects directly into variables in a single statement. It supports renaming variables, assigning default values when a property is missing or undefined, and can be nested to pull values out of deeply structured objects or arrays.","[{""term"": ""default values"", ""tier"": ""supporting"", ""aliases"": [""default parameters"", ""default value""]}, {""term"": ""nested destructuring"", ""tier"": ""supporting"", ""aliases"": []}, {""term"": ""rest pattern"", ""tier"": ""supporting"", ""aliases"": [""rest operator""]}]",0.6
